,Unnamed: 0,列1,refcode,Melting point_original,smiles,MP[K],MP[℃],note
2414,19352,19352,DOPJIB,204-205deg.C,CC(=C)C1CCC(=C)C2C1C=C(C)C(=O)C1=C2C(=O)C(C)(O)C1,477.65,204.65,
2415,19357,19357,DOPLAV,380-381 K,C1c2cccc3cccc(CC45C=CC14C=C5)c23,380.5,107.5,
2416,19358,19358,DOPNUR,224-225deg.C,CC(C)(O)C1CCC2(C)CC3OC3(C)CCC3OC3(C)CC(O)C12,497.65,224.65,
2417,19363,19363,DOPREF,379 K,COc1ccc(OC)c(C=C2CCc3ccccc3C2=O)c1,379.0,106.0,
2418,19364,19364,DOPSIK01,703 K,C12C3C4C5C1C1C6C2C2C3C3C4C4C5C1C1C6C2C3C41,703.0,430.0,
2419,19440,19440,DORKAX,382-385 K,COc1cccc(C=CC2OC(C)C(O)C2O)c1CO,383.5,110.5,
2420,19446,19446,DORLUR,391-393 K,COc1ccc(C2=Cc3cc(OC)c(OCc4ccccc4)cc3OC2)c(OC)c1OC,392.0,119.0,
2421,19447,19447,DORMAY,90-92deg.C,COC1Oc2cc(OC)c(OC)cc2C=C1c1ccc(OC)c(OC)c1OC,364.15,91.15,
2422,19479,19479,DORYEP,99-101deg.C,CCCCC1CC(c2cc3ccccc3cc12)=C(c1ccccc1)c1ccccc1,373.15,100.15,
2426,19494,19494,DOSDEV,75-76deg.C.(dec.),CC1(C)CC(C2CCCCC2=O)C(=O)C=C1,348.65,75.65,
2427,19498,19498,DOSDIZ,80deg.C.(dec.),CC(=C)C1CC=C(C)C(=O)C1C1CCCC1=O,353.15,80.15,
2428,19499,19499,DOSDOF,381 K,CC(=C)C1CC=C(C)C(=O)C1C1CCCCC1=O,381.0,108.0,
2429,19501,19501,DOSDUL,418-425 K,CC(=C)C1CC=C(C)C(=O)C1C1CCc2ccccc2C1=O,421.5,148.5,
2430,19514,19514,DOSMON,72deg.C,O=C1C2CCCC3(CCCCC23)c2ccccc12,345.15,72.15,
2432,19536,19536,DOTDOG,371-373 K,COc1ccc2cc(C=CC(=O)c3ccccc3O)ccc2c1,372.0,99.0,
2433,19546,19546,DOTJOL,59-62deg.C,CC(C)(C)C1CCC2CCCC2(C)C(=O)C1,333.65,60.65,
2434,19556,19556,DOTNEF,170deg.C,CC(=O)OC1CC2CC(OC(C)=O)C3C(=O)C1C1CC(=O)CC231,443.15,170.15,
2435,19568,19568,DOTXOZ,473-476 K,CC1OC(OC2CCC3(C)C(CCC4C3CCC3(C)C(CCC43O)C3=CC(=O)OC3)C2)C2OC(C)(C)OC2C1O,474.5,201.5,
2436,19580,19580,DOVGAX,558.0(1) K,CC(=O)OC1CCC2(C)C(CCC3(C)C2CCC2C4C5OCC4(CCC5(C)C)CCC32C)C1(C)C,558.0,285.0,
2437,19582,19582,DOVGEB,565-567 K,CC(C)C1=C2CCC3(C)C(CCC4C5C6OC(=O)C5(CCC6(C)C)CCC34C)C2(C)CC1,566.0,293.0,
2438,19586,19586,DOVJIH,153-155deg.C,CC(C)C1(O)CCC2(C)C=CC(C)(O)CCC=C(C)C(=O)CC12,427.15,154.15,
2439,19587,19587,DOVJON,163-165deg.C,CC(C)C1=CCC2(C)CC=C(CCC=C(C)C(CC12)OC(C)=O)C=O,437.15,164.15,
2440,19600,19600,DOVSOW,447-448 K,CCOC1C=C2C(CCC(O)C2(C)C)C2(C)CCC3(C)C(C(C)CCC=C(C)C)C(O)CC3(C)C12,447.5,174.5,
2441,19601,19601,DOVSUC,523-524 K,Oc1ccc2c(OCC(=O)Cc3cc(O)c(O)cc23)c1,523.5,250.5,
2442,19603,19603,DOVTOY,518-519 K,O=C1OCC2=C1C(c1ccc3OCOc3c1)c1cc3OCOc3cc1C2,518.5,245.5,
2443,19645,19645,DOXHPX,56deg.C,OOC1COCCO1,329.15,56.15,
2444,19651,19651,DOXMOT,415-417 K,CC(=O)C1CC(Cc2ccccc2)(OC1c1ccccc1)C(=O)OC(C)(C)C,416.0,143.0,
2445,19653,19653,DOXMUZ,451-453 K,CC(C)(C)OC(=O)C1(Cc2ccccc2)OC(C2C1C(=O)OC2=O)c1ccccc1,452.0,179.0,
2446,19655,19655,DOXNIN,143-145deg.C,CC1(C)CC(O)CC(C)(C)C1=CC(O)=O,417.15,144.15,
2447,19656,19656,DOXNUZ,109-110deg.C,CC1(C)C2CCC(C)(CC(O)=O)C2(C)OC1=O,382.65,109.65,
2448,19659,19659,DOXPUB,431-432 K,CCC1CC2(CC3(CC(C1O)C2=O)OCCO3)C(=O)OC,431.5,158.5,
2449,19674,19674,DOXVAP,409 K,CC1(C)CCCc2c3CCC(C)(C=C)C(O)c3c(O)c(O)c12,409.0,136.0,
2450,19677,19677,DOXXET,399K,CC1CCOC2(O)CC(=O)CCC12,399.0,126.0,
2451,19680,19680,DOXXUJ,370.6-371.6 K,COC(=O)C1=C(C2C=CC1C(=O)C2(C)C(=O)OC)C(=O)OC,371.1,98.1,
2452,19684,19684,DOXZUL,508 K,COc1c2COC3COC4C(COC34)OCc3cccc(COC4COC5C(COC45)OCc1ccc2)c3OC,508.0,235.0,
2453,19689,19689,DOYDEA,84-85deg.C,CC1=C(C)C2(OO)OC(C)(C)CCC32OC3(C)C1=O,357.65,84.65,
2454,19692,19692,DOYFEC,449 K,COC1(C)OC2(C(=O)c3ccccc3C2(O1)c1ccccc1)c1ccccc1,449.0,176.0,
2455,19697,19697,DOYHEE,386K,CC(CC(CC(CC(C)c1ccccc1)c1ccccc1)c1ccccc1)c1ccccc1,386.0,113.0,
2456,19720,19720,DOYNEK,91.1-91.3deg.C,COC(=O)C1C2CCC(C2)CC1c1ccc2ccccc2c1,364.35,91.35,
2457,19727,19727,DOYPIT,401 K,C1C2C3OC3C=CC(C3OC23)C21OC2c1ccccc1,401.0,128.0,
2458,19729,19729,DOYPOZ,434 K,O1C2C=CC3C4OC4C(C12)C1OC31c1ccccc1,434.0,161.0,
2459,19731,19731,DOYPUF,444 K,O1C2C3OC3C3C=CC(C12)C1OC31c1ccccc1,444.0,171.0,
2460,19733,19733,DOYQAM,459 K,C1CCCC2C3C=CC4OC4C(C4OC34)C32OC3CC1,459.0,186.0,
2461,19734,19734,DOYROA,455.15 K,COc1ccc(OC)c2C(O)CC(CO)CCC=C(C)Cc12,455.15,182.15,
2462,19761,19761,DOZMOU,415-417 K,CC=C(C)C(=O)OC1CC(=C2C(C3OC(=O)C(C)(OC(C)=O)C13)C(=CC2=O)C)C,416.0,143.0,
2463,19767,19767,DOZNUB,498 K,C1Oc2cc3OC4C(COc5cc6OC=Cc6cc45)c3cc2O1,498.0,225.0,
2464,19769,19769,DOZREP10,375 K,CC1=CC(C)(C)C(=O)C1=O,375.0,102.0,
2465,19770,19770,DOZRIT10,304 K,CCOC(=O)C1=C(C)C(=O)C(=O)C1(C)C,304.0,31.0,
2466,19771,19771,DOZROZ10,385 K,CCOC(=O)C=CC1=C(C)C(=O)C(=O)C1(C)C,385.0,112.0,
2467,19773,19773,DOZSIU,126deg.C,O=C1c2ccccc2C2=CC=CC=CC12c1ccccc1,399.15,126.15,
2468,19778,19778,DOZWUL,416-419 K,CC1CCC=C(C)C(O)CCC(C)(O)C=CC(=O)OC1C,417.5,144.5,
2469,19779,19779,DOZXAS,567-569 K,Cc1ccc2ccccc2c1c1cccc2C(=O)c3cccc(c4c(C)ccc5ccccc45)c3C(=O)c12,568.0,295.0,
2470,19789,19789,DPANAP10,156-7deg.C,C1Cc2ccc(c3ccccc3)c3c(ccc1c23)c1ccccc1,354.65,81.65,
2471,19798,19798,DPCYPE,59-60deg.C,C1CC(=C(C1)c1ccccc1)c1ccccc1,332.65,59.65,
2472,19800,19800,DPDBCB02,396-398 K,O=C(C1C(C(C1C(=O)c1ccccc1)c1ccccc1)c1ccccc1)c1ccccc1,397.0,124.0,
2473,19804,19804,DPDXOC,95-6deg.C,O=C1OCC2C(OC(C12)c1ccccc1)c1ccccc1,323.65,50.65,
2474,19809,19809,DPHMET,382 K,O(C(c1ccccc1)c1ccccc1)C(c1ccccc1)c1ccccc1,382.0,109.0,
2475,19814,19814,DPHPEN,376-8K,O=C(C=CC=Cc1ccccc1)c1ccccc1,192.0,-81.0,
2476,19824,19824,DPOYET,370-371 K,C(COc1ccccc1)Oc1ccccc1,370.5,97.5,
2477,19829,19829,DPSUCC,393-4K,O=C(CCC(=O)Oc1ccccc1)Oc1ccccc1,198.5,-74.5,
2478,19830,19830,DPTBEY,141deg.C,CC(C)(C)C(=C(c1ccccc1)c1ccccc1)C(C)(C)C,414.15,141.15,
2479,19835,19835,DPXCYD01,411-415 K,OOC1(CCCCCCCCCCC1)OO,413.0,140.0,
2480,19842,19842,DSOXGG,289deg.C,CC(=O)OC1CCC2(C)C(CC=C3C2=CCC24C(CCC32C)C(C)(OC4=O)C2CCC(C)(C)O2)C1(C)C,562.15,289.15,
2481,19875,19875,DUBGEM,479-483 K,COC1CC2OC3C(O)C(O)C(CO)OC3OC2C(C)O1,481.0,208.0,
2482,19876,19876,DUBGUC,310-311 K,C1OCc2ccccc2CO1,310.5,37.5,
2483,19877,19877,DUBHAJ,55-57deg.C,CC1OCc2ccccc2CO1,329.15,56.15,
2484,19878,19878,DUBHEN,374-375 K,CC1(C)OCc2ccccc2CO1,374.5,101.5,
2485,19901,19901,DUBQAT,446 K,O1C=CC2C1OC1OC3OC4OC=CC4C3C21,446.0,173.0,
2486,19923,19923,DUCKOB04,134.45 K,CCCC,134.45,-138.55,
2487,19947,19947,DUCWIK,56-57 deg.C,CC(=O)C(CC(C(C)=O)C(=O)C(C)(C)C)C(=O)C(C)(C)C,329.65,56.65,
2488,19954,19954,DUCZIL,369-372 K,CC12OC(OC1C(CO)OC2=O)c1ccccc1,370.5,97.5,
2489,19967,19967,DUDDOV,102-103.5deg.C,CC(C)C1(c2ccccc2)C(=C1c1ccccc1)c1ccccc1,375.9,102.9,
2490,19968,19968,DUDDOW,389-391 K,CC(C)=CCCC(C)=CCc1c2Oc3ccc(OC(C)=O)cc3C(=O)c2c(O)c2C=CC(C)(C)Oc12,390.0,117.0,
2491,19971,19971,DUDFIS,487 K,CC(=O)Oc1ccc(cc1)C=Cc1ccc(OC(C)=O)cc1,487.0,214.0,
2492,19973,19973,DUDGIS,487-489 K,CC1CC2OC(=O)C(=C)C2CC23OC2(C)CC(OC(C)=O)C13,488.0,215.0,
2493,19994,19994,DUDNOF,97-98 deg.C,OC1CCCC2CCC31CCCC23O,370.65,97.65,
2494,20012,20012,DUDYIK,162-163deg.C,Cc1cc(C)c(c(C)c1)C(OC(=O)c1ccccc1)=CC(c1ccccc1)c1ccccc1,435.65,162.65,
2495,20019,20019,DUFBOV10,161 K,C1CO1,161.0,-112.0,
2496,20029,20029,DUFMIA,621-625 K,O=C1OC2C3OC(=O)C4C5CC(C2C35)C14,623.0,350.0,
2497,20041,20041,DUFTUT,99.5-100.5 deg.C,COc1ccccc1C(=O)OC12CCCCC1C(C2=O)c1ccccc1,373.15,100.15,
2498,20045,20045,DUFVOQ,407-409 K,CC1CC2(OC(C)=O)C(C1OC(=O)c1ccccc1)C(OC(C)=O)C(=CCC1C(C=C(C)C2=O)C1(C)C)COC(C)=O,408.0,135.0,
